date,time,product_id,qty
9/20/2016,13:43,12,5
5/10/2014,15:26,55,9
6/14/2013,13:31,22,1
11/28/2013,10:36,40,2
12/23/2016,12:10,50,3
6/15/2016,10:13,2,1
6/25/2015,15:29,47,6
10/23/2014,14:33,51,9
5/26/2013,9:35,31,9
11/16/2014,14:35,48,3
1/10/2013,10:38,26,6
1/5/2015,14:05,7,9
3/8/2014,10:04,27,6
8/19/2013,14:09,48,6
12/25/2016,12:10,53,8
2/21/2015,10:42,8,10
2/26/2014,9:52,44,8
5/24/2014,11:09,25,5
8/30/2016,12:41,15,4
9/24/2016,16:03,12,1
3/8/2015,15:17,20,8
12/9/2013,14:05,43,8
1/14/2016,12:22,10,8
4/19/2013,15:44,12,9
8/19/2013,15:58,27,5
3/30/2016,10:14,30,2
3/16/2016,13:37,28,5
5/5/2016,16:43,43,5
9/10/2016,11:37,57,3
5/9/2013,10:01,55,2
11/9/2016,12:40,54,4
7/15/2015,13:34,22,6
4/18/2014,11:41,34,6
6/28/2016,11:49,1,1
6/16/2016,16:32,5,9
8/9/2016,10:15,10,9
7/1/2015,16:55,49,4
12/27/2013,13:40,24,4
8/14/2016,15:11,9,8
5/20/2014,14:56,7,2
9/23/2016,11:49,32,1
7/30/2015,12:17,51,9
4/24/2014,16:18,15,5
8/10/2014,12:47,7,4
8/5/2013,14:22,57,6
7/1/2013,14:21,23,9
12/26/2014,10:55,16,2
12/9/2013,9:10,37,5
1/20/2017,9:32,3,7
10/2/2013,13:28,46,9
6/2/2014,9:12,53,9
10/17/2016,16:49,34,6
2/18/2015,9:03,52,10
10/18/2015,10:54,10,7
11/22/2013,13:15,31,10
1/18/2016,15:44,37,4
3/24/2015,13:33,1,3
3/10/2014,10:01,3,6
12/11/2015,16:41,40,2
6/7/2016,13:11,18,5
1/14/2017,13:03,39,8
1/8/2014,16:56,24,2
4/13/2016,14:00,3,4
7/18/2014,14:56,44,6
10/26/2013,13:18,6,8
10/9/2015,10:47,12,4
4/29/2013,12:56,37,4
10/27/2015,14:23,28,8
8/20/2014,12:25,56,7
12/21/2014,16:05,48,3
9/27/2016,15:13,14,7
11/1/2013,9:40,42,1
5/18/2013,9:48,40,8
8/11/2016,11:30,41,7
3/8/2016,15:21,24,4
10/2/2014,12:13,25,2
3/27/2013,9:09,43,7
4/13/2014,12:13,45,7
1/3/2015,14:52,53,6
5/9/2016,9:58,25,1
6/12/2013,11:44,39,8
9/12/2015,15:31,56,5
1/2/2015,15:36,54,9
12/12/2013,16:45,46,7
3/12/2016,14:46,11,8
1/9/2016,10:22,21,5
2/10/2015,13:40,6,5
4/30/2014,15:03,30,4
4/12/2015,13:57,20,9
7/23/2014,10:21,9,8
5/23/2016,15:47,12,10
3/27/2014,11:22,14,2
12/2/2013,10:57,20,3
12/25/2014,14:38,42,8
4/21/2013,15:59,10,1
8/8/2015,9:50,40,4
9/23/2015,11:19,8,6
5/1/2016,15:02,17,2
2/17/2016,12:20,18,6
6/30/2013,16:22,55,3
6/14/2016,15:31,4,3
8/30/2014,9:36,29,7
10/18/2016,9:24,15,8
4/18/2014,13:17,48,9
1/20/2013,14:51,34,6
9/4/2016,14:13,31,7
5/24/2015,15:05,32,1
2/3/2014,10:52,28,5
2/5/2014,12:15,12,1
12/27/2016,16:37,34,1
7/24/2015,13:07,7,4
10/10/2013,10:08,18,2
3/13/2013,13:54,47,4
6/18/2015,12:41,8,9
12/16/2014,13:25,53,7
5/14/2014,15:44,52,2
9/4/2013,10:07,37,10
4/3/2014,9:56,12,5
10/12/2013,11:27,47,9
6/3/2015,15:29,52,9
9/25/2015,9:31,53,3
11/11/2016,11:10,31,5
12/5/2015,13:43,37,8
10/5/2013,12:12,44,9
8/31/2016,10:21,2,6
1/3/2015,12:04,6,7
10/26/2014,15:19,57,10
4/22/2016,13:14,33,10
10/2/2014,12:08,7,10
10/27/2013,12:14,49,3
9/20/2014,9:00,55,3
2/9/2014,13:45,43,5
1/6/2015,11:52,49,10
3/28/2016,11:09,13,6
11/29/2016,11:32,21,5
3/29/2014,11:09,47,8
3/1/2014,14:01,22,1
12/31/2015,9:40,30,4
10/6/2016,12:06,26,8
11/27/2013,10:29,17,5
10/21/2016,12:16,24,8
6/16/2013,14:26,21,7
12/24/2014,15:17,51,3
6/6/2015,16:36,48,8
9/15/2016,14:02,50,1
3/14/2013,15:49,38,5
8/5/2016,11:28,41,6
10/10/2014,11:34,37,3
3/18/2014,13:37,56,1
4/25/2015,11:34,14,8
5/24/2015,12:29,55,4
1/24/2013,12:00,34,6
12/13/2013,9:45,43,2
3/2/2014,11:10,57,7
4/6/2013,13:46,53,7
1/8/2013,12:28,54,10
12/22/2016,14:57,55,5
5/30/2015,16:32,21,2
9/30/2013,11:59,57,10
5/19/2013,9:10,38,10
5/14/2014,16:47,21,5
7/30/2016,15:31,52,1
5/17/2013,12:32,44,2
2/1/2015,12:32,42,4
7/6/2014,9:04,22,5
6/28/2016,10:36,5,2
7/16/2013,12:19,21,3
7/28/2013,9:31,6,4
10/13/2015,9:34,36,3
6/8/2015,15:13,31,6
12/21/2015,11:51,40,8
4/5/2016,14:50,39,8
9/20/2013,15:38,37,10
2/19/2015,15:40,24,10
8/10/2015,14:41,18,2
9/22/2013,14:15,23,8
2/27/2015,9:00,6,3
8/13/2016,10:05,18,3
2/6/2016,12:04,54,1
2/1/2015,15:59,21,10
6/19/2015,12:38,5,6
4/8/2015,10:43,57,6
8/16/2013,11:37,39,7
4/7/2016,16:21,35,1
1/29/2014,15:46,55,5
10/3/2014,14:56,10,9
4/8/2016,13:15,50,5
5/17/2015,9:12,26,1
6/20/2014,11:55,34,2
3/5/2014,12:05,6,4
11/6/2015,13:18,12,7
5/31/2016,14:58,26,5
2/13/2016,10:04,6,2
5/17/2016,16:52,36,1
12/20/2013,11:33,48,10
5/29/2013,13:57,27,2
